Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
60,600000457,272.632,180.148,0.0998975
60,600000458,274.04,180.175,0.0998975
60,600000459,275.47,180.029,0.0998975
55,600000460,208.886,180.443,0.0998975
57,600000461,212.312,180.512,0.0998975
68,600000462,219.833,180.449,0.0998975
56,600000463,222.003,180.397,0.0998975
59,600000464,237.322,180.472,0.0998975
62,600000465,199.39,180.765,0.0998975
62,600000466,200.61,180.913,0.0998975
55,600000467,205.84,180.755,0.0998975
57,600000468,209.982,180.798,0.0998975
57,600000469,213.126,180.91,0.0998975
57,600000470,215.966,180.959,0.0998975
56,600000471,223.651,180.84,0.0998975
58,600000472,245.127,180.855,0.0998975
49,600000473,249.817,180.899,0.0998975
61,600000474,260.005,180.941,0.0998975
61,600000475,263.02,180.871,0.0998975
65,600000476,276.641,180.813,0.0998975
62,600000477,201.604,181.247,0.0998975
57,600000478,214.72,181.138,0.0998975
68,600000479,217.47,181.111,0.0998975
59,600000480,234.369,181.165,0.0998975
59,600000481,237.305,181.24,0.0998975
67,600000482,247.278,181.384,0.0998975
67,600000483,248.527,181.193,0.0998975
61,600000484,263.854,181.139,0.0998975
60,600000485,273.651,181.25,0.0998975
62,600000486,197.546,181.5,0.0998975
55,600000487,207.563,181.585,0.0998975
57,600000488,212.942,181.682,0.0998975
68,600000489,222.533,181.641,0.0998975
69,600000490,225.877,181.657,0.0998975
70,600000491,229.752,181.77,0.0998975
58,600000492,243.244,181.581,0.0998975
63,600000493,253.771,181.57,0.0998975
63,600000494,255.114,181.444,0.0998975
63,600000495,257.379,181.798,0.0998975
64,600000496,269.859,181.567,0.0998975
60,600000497,272.928,181.502,0.0998975
65,600000498,281.192,181.597,0.0998975
55,600000499,205.18,181.994,0.0998975
59,600000500,232.99,181.87,0.0998975
58,600000501,242.243,181.999,0.0998975
61,600000502,262.143,182.064,0.0998975
64,600000503,267.292,181.985,0.0998975
65,600000504,281.998,182.045,0.0998975
66,600000505,285.461,182.078,0.0998975
66,600000506,286.884,181.941,0.0998975
10,600000507,195.347,182.327,0.0998975
71,600000508,209.449,182.381,0.0998975
57,600000509,212.197,182.388,0.0998975
57,600000510,215.796,182.458,0.0998975
68,600000511,220.082,182.491,0.0998975
69,600000512,225.7,182.298,0.0998975
70,600000513,230.781,182.468,0.0998975
67,600000514,250.559,182.27,0.0998975
63,600000515,252.531,182.385,0.0998975
61,600000516,260.701,182.517,0.0998975
64,600000517,265.742,182.377,0.0998975
65,600000518,277.832,182.459,0.0998975
65,600000519,280.883,182.319,0.0998975
66,600000520,286.208,182.354,0.0998975
62,600000521,198.135,182.726,0.0998975
62,600000522,202.022,182.752,0.0998975
71,600000523,208.581,182.765,0.0998975
57,600000524,211.266,182.754,0.0998975
57,600000525,213.557,182.58,0.0998975
68,600000526,218.655,182.716,0.0998975
69,600000527,224.037,182.87,0.0998975
59,600000528,236.822,182.815,0.0998975
59,600000529,238.556,182.761,0.0998975
67,600000530,248.225,182.71,0.0998975
63,600000531,256.222,182.713,0.0998975
61,600000532,258.161,182.795,0.0998975
60,600000533,270.977,182.768,0.0998975
60,600000534,272.567,182.943,0.0998975
60,600000535,275.261,182.752,0.0998975
65,600000536,279.314,182.711,0.0998975
62,600000537,199.721,183.309,0.0998975
71,600000538,203.279,183.289,0.0998975
71,600000539,204.407,183.141,0.0998975
71,600000540,206.681,183.235,0.0998975
57,600000541,215.321,183.273,0.0998975
69,600000542,227.147,183.141,0.0998975
67,600000543,246.761,183.173,0.0998975
62,600000544,196.055,183.707,0.0998975
62,600000545,202.155,183.608,0.0998975
71,600000546,205.594,183.616,0.0998975
71,600000547,207.242,183.577,0.0998975
68,600000548,218.26,183.698,0.0998975
59,600000549,233.261,183.523,0.0998975
59,600000550,235.071,183.424,0.0998975
67,600000551,251.493,183.431,0.0998975
63,600000552,255.046,183.572,0.0998975
65,600000553,281.277,183.626,0.0998975
66,600000554,285.366,183.642,0.0998975
66,600000555,287.819,183.661,0.0998975
71,600000556,209.282,184.08,0.0998975
68,600000557,216.637,183.8,0.0998975
72,600000558,241.707,183.901,0.0998975
63,600000559,253.829,183.791,0.0998975
61,600000560,259.265,183.815,0.0998975
61,600000561,263.12,183.8,0.0998975
64,600000562,268.367,184.052,0.0998975
60,600000563,275.281,183.749,0.0998975
65,600000564,283.192,183.953,0.0998975
66,600000565,290.017,184.015,0.0998975
71,600000566,207.39,184.336,0.0998975
68,600000567,220.605,184.333,0.0998975
69,600000568,224.094,184.28,0.0998975
70,600000569,230.389,184.267,0.0998975
63,600000570,257.573,184.226,0.0998975
64,600000571,269.785,184.315,0.0998975
64,600000572,270.777,184.28,0.0998975
73,600000573,274.44,184.216,0.0998975
73,600000574,277.912,184.201,0.0998975
65,600000575,279.27,184.198,0.0998975
62,600000576,198.755,184.631,0.0998975
62,600000577,200.66,184.494,0.0998975
