Cell_ID,Centroid,Cell Position X,Cell Position Y,Fano factor,PV,NV
1134,64,416.449,214.516,1.691562932,0.147679325,0.060763889
1135,22,434.171,213.625,14.63279857,0.299382716,0.084201389
1136,54,428.432,216.788,10.09158679,0.257575758,0.103298611
1137,6,440.95,216.024,10.625,0.319444444,0.039930556
1138,79,410.222,218.277,2.281236005,0.098798398,0.055059524
1139,110,395.856,219.647,1.215447154,0.172727273,0.098958333
1140,77,416.587,220.135,2.208695652,0.154216867,0.066666667
1141,58,422.535,218.918,5.397058824,0.186147186,0.074652778
1142,0,452.526,218.986,0,0,0
1143,107,402.821,219.949,2.620561738,0.190909091,0.109375
1144,24,434.689,219.908,13.94712644,0.262345679,0.073784722
1145,6,439.935,223.662,8.908496732,0.229166667,0.028645833
1146,0,445.397,220.519,5,0.333333333,0.010416667
1147,87,407.355,223.721,1.661649944,0.098130841,0.0546875
1148,25,427.322,223.841,12.30943595,0.34729064,0.104910714
1149,91,392.846,225.375,1.45035461,0.092424242,0.052951389
1150,93,399.779,225.345,1.618216683,0.081818182,0.046875
1151,53,420.244,225.001,7.431707317,0.238955823,0.103298611
1152,83,413.617,225.443,1.596986817,0.111111111,0.050347222
1153,0,445.33,227.209,5.461538462,0.30952381,0.011284722
1154,8,433.462,225.851,6.153846154,0.288,0.0375
1155,7,438.738,230.03,3.571428571,0.517857143,0.021577381
1156,94,394.85,230.865,0.389513109,0.062056738,0.030381944
1157,79,410.677,230.102,0.658744668,0.08045977,0.036458333
1158,41,423.786,229.771,13.27864583,0.271689498,0.103298611
1159,70,405.005,228.988,0.926627219,0.187096774,0.090625
1160,93,400.266,232.304,1.165605096,0.072815534,0.0390625
1161,8,430.476,231.1,13.5012987,0.257839721,0.055059524
1162,73,416.595,231.532,4.713707345,0.209982788,0.09077381
1163,0,451.566,229.666,0,0,0
1164,0,446.669,233.441,7,0.166666667,0.006076389
1165,18,426.064,234.718,15.23716814,0.395121951,0.084375
1166,2,435.29,234.992,3.715789474,0.375,0.015625
1167,0,441.417,235.852,4.48,0.285714286,0.010416667
1168,85,405.552,234.732,1.715837621,0.103559871,0.055555556
1169,70,410.365,236.144,1.426845638,0.124705882,0.055208333
1170,90,395.082,236.627,0.529927761,0.064724919,0.034722222
1171,38,420.258,236.241,12.65686275,0.246575342,0.09375
1172,0,452.843,236.298,0,0,0
1173,0,461.888,234.26,0,0,0
1174,57,414.735,238.349,4.961568627,0.204819277,0.088541667
1175,103,401.466,238.837,3.077134986,0.187702265,0.100694444
1176,1,430.963,238.483,4.862318841,0.361111111,0.033854167
1177,7,425.007,239.917,15.04444444,0.421052632,0.083333333
1178,0,445.797,239.78,1,0.166666667,0.000868056
1179,0,458.731,239.738,0,0,0
1180,98,396.268,242.26,3.027593819,0.148867314,0.079861111
1181,1,439.634,240.935,2.333333333,0.333333333,0.006944444
1182,83,407.753,241.414,3.626373626,0.152565881,0.081845238
1183,38,419.107,242.654,16.6870229,0.311688312,0.107142857
1184,66,412.488,244.52,5.868613139,0.230923695,0.099826389
1185,0,451.411,241.825,0,0,0
1186,0,470.235,241.253,0,0,0
1187,53,401.729,244.352,3.135028249,0.354368932,0.190104167
1188,4,432.666,244.862,2.734693878,0.523809524,0.016369048
1189,0,464.857,244.59,0,0,0
1190,0,444.289,245.083,1,0.166666667,0.000868056
1191,6,426.571,244.835,17.53030303,0.201754386,0.039930556
1192,0,438.344,246.197,3.08,0.25,0.005208333
