Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
433,176.027,273.225,0,1,0,0.001068376
434,113.072,273.663,0,1.083333333,0,0.004273504
435,158.166,274.191,0,0,0,0
436,163.915,274.078,0,0,0,0
437,104.883,275.278,2,2,0,0.012820513
438,152.546,274.837,0,0,0,0
439,170.064,274.651,0,1,0,0.000915751
440,126.543,276.246,0,0,0,0
441,144.224,275.098,0,0,0,0
442,190.568,275.503,0,0,0,0
443,138.106,277.347,0,0,0,0
444,184.998,278.261,0,0,0,0
445,175.521,278.209,0,0,0,0
446,116.304,279.461,1,2,0.444444444,0.008547009
447,154.375,279.717,0,0,0,0
448,110.263,279.462,0,1.6,0.4,0.007692308
449,133.16,279.58,0,0,0,0
450,160.163,279.463,0,0,0,0
451,165.616,279.23,0,0,0,0
452,149.047,279.973,0,0,0,0
453,122.097,281.104,0,2.25,0,0.004273504
454,179.847,281.41,0,0,0,0
455,142.983,280.46,0,0,0,0
456,170.698,280.387,0,0,0,0
457,104.533,281.423,0,1.481481481,0.5,0.009615385
458,189.862,281.213,0,0,0,0
459,128.21,282.138,0,0,0,0
460,138.514,283.939,0,0,0,0
461,174.559,284.102,0,0,0,0
462,184.793,283.674,0,0,0,0
463,162.445,284.371,0,0,0,0
464,145.547,285.226,0,0,0,0
465,157.004,284.605,0,0,0,0
466,110.877,285.147,3,1.395604396,0.523809524,0.01007326
467,118.402,285.879,3,1.583333333,0.722222222,0.013888889
468,168.352,285.418,0,0,0,0
469,133.32,286.187,0,0,0,0
470,151.947,286.509,0,0,0,0
471,178.413,287.828,0,0,0,0
472,126.438,287.402,0,2.285714286,0,0.003663004
473,183.849,288.5,0,0,0,0
474,102.417,287.526,3,1.047619048,0.285714286,0.009157509
475,189.024,287.741,0,0,0,0
476,163.537,288.992,0,0,0,0
477,172.757,289.557,0,0,0,0
478,140.165,289.629,0,0,0,0
479,147.238,290.051,0,0,0,0
480,157.524,289.999,0,0,0,0
481,293.43,206.078,89,0.487272727,0.063366337,0.041025641
482,291.389,214.567,113,1.259224219,0.188369153,0.136446886
483,290.285,219.943,86,1.366137566,0.090265487,0.065384615
484,294.243,227.797,73,1.2086854,0.196428571,0.130952381
485,291.304,236.359,84,1.792695473,0.136507937,0.091880342
486,287.78,251.216,100,2.642921147,0.11627907,0.096153846
